parent: i = 1,fd = 3 
parent: i = 2,fd = 3 
parent: i = 3,fd = 3 
parent: i = 4,fd = 3 
parent: i = 5,fd = 3 
parent: i = 6,fd = 3 
parent: i = 7,fd = 3 
parent: i = 8,fd = 3 
parent: i = 9,fd = 3 
parent: i = 10,fd = 3 
parent: i = 11,fd = 3 
parent: i = 12,fd = 3 
parent: i = 13,fd = 3 
parent: i = 14,fd = 3 
parent: i = 15,fd = 3 
parent: i = 16,fd = 3 
parent: i = 17,fd = 3 
parent: i = 18,fd = 3 
parent: i = 19,fd = 3 
parent: i = 20,fd = 3 
child: i = 1,fd = 3 
child: i = 2,fd = 3 
child: i = 3,fd = 3 
child: i = 4,fd = 3 
child: i = 5,fd = 3 
child: i = 6,fd = 3 
child: i = 7,fd = 3 
child: i = 8,fd = 3 
child: i = 9,fd = 3 
child: i = 10,fd = 3 
